unix_timestamp,Agile Import price (p/kWh),Agile Export price (p/kWh),Asset_load,New_asset_load,New_asset_load_rolling,Carbon Intensity
1717282800,14.91,7.45,1,0,,116.0
1717284600,14.91,7.45,1,1,,114.0
1717286400,14.91,7.45,1,1,,112.0
1717288200,14.91,7.45,1,1,,107.0
1717290000,14.91,7.45,1,1,,101.0
1717291800,14.7,7.36,1,1,,102.0
1717293600,12.81,6.51,1,1,,102.0
1717295400,12.81,6.51,1,1,,105.0
1717297200,12.81,6.51,1,1,,93.0
1717299000,12.6,6.42,1,1,,89.0
1717300800,11.97,6.14,1,0,,97.0
1717302600,10.52,5.49,1,1,,93.0
1717304400,10.08,5.29,1,1,,78.0
1717306200,12.1,6.19,1,1,,66.0
1717308000,10.92,5.67,1,1,,57.0
1717309800,13.02,6.61,1,1,,54.0
1717311600,12.26,6.27,1,1,,52.0
1717313400,13.02,6.61,1,1,,55.0
1717315200,11.97,6.14,1,1,,57.0
1717317000,11.97,6.14,1,1,,57.0
1717318800,11.97,6.14,1,0,,68.0
1717320600,11.97,6.14,1,1,,57.0
1717322400,11.97,6.14,1,1,,46.0
1717324200,10.5,5.48,1,1,,48.0
1717326000,10.92,5.67,1,1,,40.0
1717327800,10.5,5.48,1,1,,42.0
1717329600,13.02,6.61,1,1,,53.0
1717331400,10.52,5.49,1,1,,73.0
1717333200,10.5,5.48,1,1,,84.0
1717335000,10.5,5.48,1,1,,99.0
1717336800,10.5,5.48,1,0,,104.0
1717338600,10.52,5.49,1,1,,109.0
1717340400,25.2,11.75,1,1,,118.0
1717342200,27.72,12.88,1,1,,135.0
1717344000,31.84,14.72,1,1,,137.0
1717345800,33.47,15.45,1,1,,141.0
1717347600,32.76,15.13,1,1,,152.0
1717349400,33.89,15.64,1,1,,153.0
1717351200,18.92,9.25,1,1,,162.0
1717353000,19.45,9.48,1,1,,166.0
1717354800,19.17,9.36,1,0,,178.0
1717356600,18.06,8.86,1,1,,190.0
1717358400,19.34,9.44,1,1,,186.0
1717360200,18.48,9.05,1,1,,180.0
1717362000,18.48,9.05,1,1,,175.0
1717363800,17.75,8.72,1,1,,151.0
1717365600,17.22,8.49,1,1,,139.0
1717367400,16.8,8.3,1,1,,138.0
1717369200,15.88,7.89,1,1,,159.0
1717371000,15.46,7.7,1,1,,
1717372800,14.45,7.25,1,0,,
1717374600,14.45,7.25,1,1,,
1717376400,13.44,6.8,1,1,,
1717378200,13.44,6.8,1,1,,
1717380000,13.44,6.8,1,1,,
1717381800,12.83,6.52,1,1,,
1717383600,13.88,6.99,1,1,,
1717385400,13.1,6.65,1,1,,
1717387200,14.07,7.08,1,1,,
1717389000,14.89,7.44,1,1,,
1717390800,16.8,8.3,1,0,,
1717392600,18.88,9.23,1,1,,
1717394400,20.68,10.04,1,1,,
1717396200,24.57,11.78,1,1,,
1717398000,19.74,9.62,1,1,,
1717399800,20.16,9.8,1,1,,
1717401600,18.27,8.96,1,1,,
1717403400,17.14,8.45,1,1,,
1717405200,18.14,8.9,1,1,,
1717407000,18.06,8.86,1,1,,
1717408800,17.22,8.49,1,0,,
1717410600,16.53,8.18,1,1,,
1717412400,16.51,8.17,1,1,,
1717414200,15.75,7.83,1,1,,
1717416000,15.33,7.64,1,1,,
1717417800,15.12,7.55,1,1,,
1717419600,15.12,7.55,1,1,,
1717421400,14.53,7.28,1,1,,
1717423200,15.09,7.53,1,1,,
1717425000,15.98,7.93,1,1,,
1717426800,30.2,13.99,1,0,,
1717428600,31.96,14.78,1,1,,
1717430400,34.92,16.1,1,1,,
1717432200,33.6,15.51,1,1,,
1717434000,36.71,16.9,1,1,,
1717435800,35.91,16.54,1,1,,
1717437600,24.78,11.87,1,1,,
1717439400,23.52,11.31,1,1,,
1717441200,23.31,11.21,1,1,,
1717443000,22.87,11.02,1,1,,
1717444800,21.63,10.46,1,0,,
1717446600,19.8,9.64,1,1,,
1717448400,19.49,9.5,1,1,,
1717450200,17.64,8.68,1,1,,
1717452000,18.69,9.15,1,1,,
1717453800,20.16,9.8,1,1,,
1717455600,17.91,8.8,1,1,,
1717457400,17.6,8.66,1,1,,
1717459200,17.3,8.53,1,1,,
1717461000,16.97,8.38,1,1,0.9,
1717462800,15.64,7.78,1,0,0.9,
1717464600,14.28,7.17,1,1,0.9,
1717466400,13.27,6.72,1,1,0.9,
1717468200,11.97,6.14,1,1,0.9,
1717470000,14.74,7.38,1,1,0.9,
1717471800,13.65,6.89,1,1,0.9,
1717473600,15.12,7.55,1,1,0.9,
1717475400,15.6,7.76,1,1,0.9,
1717477200,20.18,9.81,1,1,0.9,
1717479000,23.1,11.12,1,1,0.9,
1717480800,22.89,11.03,1,0,0.9,
1717482600,25.43,12.16,1,1,0.9,
1717484400,18.9,9.24,1,1,0.9,
1717486200,17.77,8.73,1,1,0.9,
1717488000,15.75,7.83,1,1,0.9,
1717489800,14.38,7.22,1,1,0.9,
1717491600,13.15,6.66,1,1,0.9,
