PeriodFrom,PeriodTo,CarbonIntensity
2024-05-31T23:30Z,2024-06-01T00:00Z,116
2024-06-01T00:00Z,2024-06-01T00:30Z,114
2024-06-01T00:30Z,2024-06-01T01:00Z,112
2024-06-01T01:00Z,2024-06-01T01:30Z,107
2024-06-01T01:30Z,2024-06-01T02:00Z,101
2024-06-01T02:00Z,2024-06-01T02:30Z,102
2024-06-01T02:30Z,2024-06-01T03:00Z,102
2024-06-01T03:00Z,2024-06-01T03:30Z,105
2024-06-01T03:30Z,2024-06-01T04:00Z,93
2024-06-01T04:00Z,2024-06-01T04:30Z,89
2024-06-01T04:30Z,2024-06-01T05:00Z,97
2024-06-01T05:00Z,2024-06-01T05:30Z,93
2024-06-01T05:30Z,2024-06-01T06:00Z,78
2024-06-01T06:00Z,2024-06-01T06:30Z,66
2024-06-01T06:30Z,2024-06-01T07:00Z,57
2024-06-01T07:00Z,2024-06-01T07:30Z,54
2024-06-01T07:30Z,2024-06-01T08:00Z,52
2024-06-01T08:00Z,2024-06-01T08:30Z,55
2024-06-01T08:30Z,2024-06-01T09:00Z,57
2024-06-01T09:00Z,2024-06-01T09:30Z,57
2024-06-01T09:30Z,2024-06-01T10:00Z,68
2024-06-01T10:00Z,2024-06-01T10:30Z,57
2024-06-01T10:30Z,2024-06-01T11:00Z,46
2024-06-01T11:00Z,2024-06-01T11:30Z,48
2024-06-01T11:30Z,2024-06-01T12:00Z,40
2024-06-01T12:00Z,2024-06-01T12:30Z,42
2024-06-01T12:30Z,2024-06-01T13:00Z,53
2024-06-01T13:00Z,2024-06-01T13:30Z,73
2024-06-01T13:30Z,2024-06-01T14:00Z,84
2024-06-01T14:00Z,2024-06-01T14:30Z,99
2024-06-01T14:30Z,2024-06-01T15:00Z,104
2024-06-01T15:00Z,2024-06-01T15:30Z,109
2024-06-01T15:30Z,2024-06-01T16:00Z,118
2024-06-01T16:00Z,2024-06-01T16:30Z,135
2024-06-01T16:30Z,2024-06-01T17:00Z,137
2024-06-01T17:00Z,2024-06-01T17:30Z,141
2024-06-01T17:30Z,2024-06-01T18:00Z,152
2024-06-01T18:00Z,2024-06-01T18:30Z,153
2024-06-01T18:30Z,2024-06-01T19:00Z,162
2024-06-01T19:00Z,2024-06-01T19:30Z,166
2024-06-01T19:30Z,2024-06-01T20:00Z,178
2024-06-01T20:00Z,2024-06-01T20:30Z,190
2024-06-01T20:30Z,2024-06-01T21:00Z,186
2024-06-01T21:00Z,2024-06-01T21:30Z,180
2024-06-01T21:30Z,2024-06-01T22:00Z,175
2024-06-01T22:00Z,2024-06-01T22:30Z,151
2024-06-01T22:30Z,2024-06-01T23:00Z,139
2024-06-01T23:00Z,2024-06-01T23:30Z,138
2024-06-01T23:30Z,2024-06-02T00:00Z,159
